time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month,var_today_yesterday,var_today_avg_week,var_today_avg_month,explicacao
01h,3,3,2,2.0,1.92,0.0,50.0,56.250000000000014,aumento acima de 50% comparado à média semanal
02h,3,1,2,0.42,0.75,200.0,614.2857142857143,300.0,aumento acima de 50% comparado à média semanal
03h,0,1,1,0.42,0.46,-100.0,-100.0,-100.0,queda acima de 50% comparado à média semanal
04h,0,0,0,0.14,0.21,0.0,-100.0,-100.0,queda acima de 50% comparado à média semanal
05h,2,1,1,0.71,0.71,100.0,181.69014084507046,181.69014084507046,aumento acima de 50% comparado à média semanal
06h,3,1,2,1.42,2.1,200.0,111.26760563380283,42.85714285714285,aumento acima de 50% comparado à média semanal
07h,10,2,9,3.0,5.03,400.0,233.33333333333334,98.80715705765407,aumento acima de 50% comparado à média semanal
08h,25,0,12,3.71,9.82,2500.0,573.8544474393531,154.5824847250509,aumento acima de 50% comparado à média semanal
09h,36,2,27,10.14,17.64,1700.0,255.02958579881656,104.0816326530612,aumento acima de 50% comparado à média semanal
10h,43,55,42,26.14,28.57,-21.818181818181817,64.49885233358836,50.507525376268816,aumento acima de 50% comparado à média semanal
11h,44,36,47,25.0,28.28,22.22222222222222,76.0,55.58698727015559,aumento acima de 50% comparado à média semanal
12h,46,51,46,24.0,25.89,-9.803921568627452,91.66666666666666,77.67477790652761,aumento acima de 50% comparado à média semanal
13h,45,36,31,20.28,24.17,25.0,121.89349112426034,86.18121638394702,aumento acima de 50% comparado à média semanal
15h,0,51,42,22.427,27.78,-100.0,-100.0,-100.0,queda acima de 50% comparado à média semanal
16h,0,41,36,21.57,25.53,-100.0,-100.0,-100.0,queda acima de 50% comparado à média semanal
17h,0,45,19,17.71,22.67,-100.0,-100.0,-100.0,queda acima de 50% comparado à média semanal
19h,32,33,29,18.0,18.21,-3.0303030303030303,77.77777777777779,75.7276221856123,aumento acima de 50% comparado à média semanal
20h,23,25,17,12.14,18.53,-8.0,89.45634266886326,24.123043712897996,aumento acima de 50% comparado à média semanal
21h,28,30,23,14.85,17.82,-6.666666666666667,88.55218855218855,57.12682379349046,aumento acima de 50% comparado à média semanal
22h,29,28,17,12.71,15.5,3.571428571428571,128.16679779701022,87.09677419354838,aumento acima de 50% comparado à média semanal
23h,17,11,14,8.28,8.75,54.54545454545454,105.31400966183577,94.28571428571428,aumento acima de 50% comparado à média semanal
